N;SIGLA;NOME;DEFERIMENTO;PRES. NACIONAL;Nº DA LEGENDA
1;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;30.6.1981;ROMERO JUCÁ FILHO, no exercício da presidência;15
2;PTB;PARTIDO TRABALHISTA BRASILEIRO;3.11.1981;ROBERTO JEFFERSON MONTEIRO FRANCISCO;14
3;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;10.11.1981;CARLOS LUPI;12
4;PT;PARTIDO DOS TRABALHADORES;11.2.1982;GLEISI HELENA HOFFMANN;13
5;DEM;DEMOCRATAS;11.9.1986;ANTÔNIO CARLOS MAGALHÃES NETO;25
6;PCdoB;PARTIDO COMUNISTA DO BRASIL;23.6.1988;LUCIANA BARBOSA DE OLIVEIRA SANTOS;65
7;PSB;PARTIDO SOCIALISTA BRASILEIRO;1.7.1988;CARLOS ROBERTO SIQUEIRA DE BARROS;40
8;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;24.8.1989;GERALDO JOSÉ RODRIGUES ALCKMIN FILHO;45
9;PTC;PARTIDO TRABALHISTA CRISTÃO;22.2.1990;DANIEL S. TOURINHO;36
10;PSC;PARTIDO SOCIAL CRISTÃO;29.3.1990;EVERALDO DIAS PEREIRA;20
11;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;25.10.1990;ANTONIO CARLOS BOSCO MASSAROLLO;33
12;PRP;PARTIDO REPUBLICANO PROGRESSISTA;29.10.1991;OVASCO ROMA ALTIMARI RESENDE;44
13;PPS;PARTIDO POPULAR SOCIALISTA;19.3.1992;ROBERTO JOÃO PEREIRA FREIRE;23
14;PV;PARTIDO VERDE;30.9.1993;JOSÉ LUIZ DE FRANÇA PENNA;43
15;AVANTE;AVANTE;11.10.1994;LUIS HENRIQUE DE OLIVEIRA RESENDE;70
16;PP;PARTIDO PROGRESSISTA;16.11.1995;CIRO NOGUEIRA LIMA FILHO;11
17;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;19.12.1995;JOSÉ MARIA DE ALMEIDA;16
18;PCB;PARTIDO COMUNISTA BRASILEIRO;9.5.1996;EDMILSON SILVA COSTA*;21
19;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;18.2.1997;JOSÉ LEVY FIDELIX DA CRUZ;28
20;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;20.3.1997;MARCELO GUILHERME DE ARO FERREIRA;31
21;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;5.8.1997;JOSÉ MARIA EYMAEL;27
22;PCO;PARTIDO DA CAUSA OPERÁRIA;30.9.1997;RUI COSTA PIMENTA;29
23;PODE;PODEMOS;2.10.1997;RENATA HELLMEISTER DE ABREU;19
24;PSL;PARTIDO SOCIAL LIBERAL;2.6.1998;GUSTAVO BEBIANNO ROCH, no exercício da presidência;17
25;PRB;PARTIDO REPUBLICANO BRASILEIRO;25.8.2005;EDUARDO BENEDITO LOPES, no exercício da presidência;10
26;PSOL;PARTIDO SOCIALISMO E LIBERDADE;15.9.2005;JULIANO MEDEIROS;50
27;PR;PARTIDO DA REPÚBLICA;19.12.2006;JOSÉ TADEU CANDELÁRIA, no exercício da presidência;22
28;PSD;PARTIDO SOCIAL DEMOCRÁTICO;27.9.2011;ALFREDO COTAIT NETO, no exercício da presidência;55
29;PPL;PARTIDO PÁTRIA LIVRE;4.10.2011;SÉRGIO RUBENS DE ARAÚJO TORRES;54
30;PATRI;PATRIOTA;19.6.2012;ADILSON BARROSO OLIVEIRA;51
31;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;24.9.2013;EURÍPEDES G.DE MACEDO JÚNIOR;90
32;SD;SOLIDARIEDADE;24.9.2013;PAULO PEREIRA DA SILVA;77
33;NOVO;PARTIDO NOVO;15.9.2015;MOISES DOS SANTOS JARDIM;30
34;REDE;REDE SUSTENTABILIDADE;22.9.2015;JOSÉ GUSTAVO FÁVARO BARBOSA SILVA;18
35;PMB;PARTIDO DA MULHER BRASILEIRA;29.9.2015;SUÊD HAIDAR NOGUEIRA;35
